Title,Company,Info
"Senior Python Developer, Financial Software Solutions","DataArt 
										",Our client is a New York City-based FinTech startup that is building a trading and risk software platform for the investment banking industry to sell as a service. ;DataArt is looking for an experienced...
Data analyst,"Агроиндустриальный холдинг МХП 
										","Агроіндустіальний холдинг МХП ;- провідний аграрний холдинг, лідер ринку у сегменті рослинництва та птахівництва в Україні. Наше бренд-портфоліо включає ТМ «Наша Ряба», ТМ «Легко», ТМ «Бащинський» та ряд..."
Python developer,"ТIЕС ТЕХ, ТОВ 
										","Кто мы?Продуктовая IT компания, находящаяся на рынке более 5 лет. ;Наш штат состоит из 100+ сотрудников и таких отделов как: веб-разработка, мобильная разработка, QA, отдел вебмастеров, frontend-разработка,..."
"Data scientist (machine learning, Riga)","SIA Media Solutions 
										","Ищем специалиста с сильным математическим бэкграундом, увлеченного аналитикой и машинным обучением. Перевозим в Ригу, оформляем ВНЖ.Ключевые требования:Теоретические знания математической статистики, теории..."
Data Engineer for Yoopies,"Ciklum 
										","On behalf of Yoopies, Ciklum is looking for Data Engineer to join the Kyiv team on a full-time basis. ;The leading Care Platform in Europe is looking for a Data Engineer. Yoopies.com, present in 18 countries,..."
Senior FullStack Python/Django Developer,"Yael Acceptic 
										",We are searching for a skillful Senior FullStack Python/Django Developer to join a fast growing project that helps worldwide enterprises to educate their employees to keep working environment safety and...
 Intern/Junior Python developer,"Intersog 
										",".Intersog® is a Chicago-based provider of ROI-driven custom web and mobile development specializing in delivery of full-service, end-to-end solutions and project resources to Fortune 500 companies, SMEs..."
Data scientist,Arte Business Group  агентство,"Міжнародна Компанія, світовий лідер в сфері маркетингових досліджень та управління продуктивністю, запрошує в свою команду Data Scientist. ;  ; Ми шукаємо аналітика з даних, який розроблятиме правила та..."
"Senior BigData Engineer, Financial Software Solutions","DataArt 
										",Our client is a New York City-based FinTech startup that is building a trading and risk software platform for the investment banking industry to sell as a service. ;DataArt has become the client's main...
Python/Django разработчик,"Мікрокредитний центр БМ, ТОВ 
										",В связи с развитием финансовой компании  ;в сфере онлайн / оффлайн кредитования требуется Python/Django разработчик ;Требования:опыт разработки на языке ;Python;опыт работы с ;Django ;Framework и популярными...
"Data Platform Engineer, Online Retailer","DataArt 
										","Our client is one of the biggest online retailers worldwide. DataArt specialists help develop and support its services. We have helped the company to create web-portals and mobile apps, delivery control..."
Senior Python Developer,"DataArt 
										","DataArt is engaged in IT consulting and software development. Since 1997, we have been designing, developing, modernizing, and supporting solutions that help the businesses of our clients grow. DataArt..."
Senior Python QA Automation Engineer (Switch Products),"Ubiquiti Networks 
										","Ubiquiti Networks is an American technology company started in 2005. Based in New York, NY, Ubiquiti manufactures wireless data communication products for enterprise and wireless broadband providers with..."
"Golang Developer, Traffic Management Solutions","DataArt 
										",The client is the market leader in the development of DNS server software for traffic management. The DNS system created by this company is connected via API to their tools using modern DevOps principles....
Analyst (Gamedev),Animo  агентство,"Мы - команда ;AB Games ;- работаем над созданием игры в жанре free-to-play Hidden Objects. Наша компания строится на идеях, таланте, командной работе и бесконечной любви к играм. Мы приглашаем к себе в..."
Data Analyst,"Мілоан, ТОВ 
										","Miloan ;- microcredit online. Мы ;входим в ;ТОП ;- 10 аналогичных компаний страны, а ;штат наших сотрудников уже превышает более 100 человек.Если Вы ;ищете работу в ;компании, которая всегда выполняет..."
Senior Python Engineer,"Intel 471 
										","Must Have:Overall software engineering experience - 5+ yearsPython 3 development experience - 3+ yearsPostgreSQL, MySQLRedisExperience developing applications with beanstalkd/rabbitmq/gearmanKafka, ElasticSearch,..."
Machine Learning Engineer,IT Recruitment Solutions (ITRS.ua) ®  агентство,REQUIREMENTS:Deep knowledge in machine learning;Experience with C++ or Java;Python skills will be a plus;University degree in technical sciences;Technical English (higher level is advantage). ;COMPANY...
Machine Learning Engineer,"App Development Studio 
										","Machine Learning EngineerКиїв, Україна ;Ми - digital лабораторія з розробки мобільних ігор. Наші проекти - це результат взаємодії талановитих, розумних і наполегливих людей, ідей та новітніх технологій...."
Data Analyst,"Genesis 
										","Генезис - одна из крупнейших IT-компаний в Украине и одна из самых сильных высокотехнологичных команд в Восточной Европе. Мы - это более 1000 человек в 8 странах, которые создают продукты для 200 миллионов..."
Аналітик з ринкових ризиків (R/Python),"ДТЕК, ТОВ, Енергетична компанія 
										","Вимоги:Вища математична/технічна освітаДодаткова освіта у сфері керування фінансами, ризик-менеджменту, енергетики або прикладної математики - розглядається як додаткова перевагаДосвід роботи - від 1 року..."
Middle Python developer,"НЕК Укренерго, ДП 
										",Національна енергетична компанія «Укренерго» запрошує прийняти участь в конкурсі на заміщення вакантної посади ;Middle Python developer ;Чим потрібно займатись на даній позиції:Розробка внутрішніх інформаційних...
Sr. Software Engineer (С/Python),"Mellanox Technologies 
										","Overview: ;This position involves the development of IO Device Drivers for Mellanox line of storage products, developing open-source storage products (spdk) and integration Mellanox specific offload technologies..."
Python Developer,"НЕК Укренерго, ДП 
										",Національна енергетична компанія «Укренерго» запрошує прийняти участь в конкурсі на заміщення вакантної посади ; ;Python Developer ;Обов'язки:Автоматизація бізнес-процесів та створення нових корпоративних...
Преподаватель IT-технологий на английском,"Шаг, Компьютерная Академия 
										","Компьютерная Академия ШАГ - крупнейшее международное учебное заведение, специализирующееся на компьютерном образовании. Работаем с 1999 года. Открыто 72 филиала в 18 странах мира.ШАГ - крупнейший авторизованный..."
Middle/Senior Python Developer,"PortaOne 
										","PortaOne, a company created by Ukrainians in 1997, is now a global software developer for modern telecommunications. The PortaOne platform, PortaSwitch, is a fundamental part of the business infrastructure..."
Python Developer/Machine Learning Engineer,"Альфа-Банк 
										","Альфа-Банк Україна вже багато років допомагає у досягненні цілей та реалізації мрій! Ми надаємо сучасні банківські рішення для клієнтів усіх сегментів: від приватних осіб до мега-холдингів, будучи одним..."
